Site Name,Address,Post Code,Location Type,Ward,Sticker,Postcode area,Site Number,UPRN,Latitude,Longitude,y,x,Recyclables-Mixed Glass,Recyclables-Paper,Recyclables-Textiles,Recyclables Small Electrical,Non LCC Banks,Type,Tally of Sites,Cleaning,No of  Glass Banks,Apr 16 Glass Tonnages Kg,May 16 Glass Tonnages Kg,Jun 16 Glass Tonnages Kg,Jul 16 Glass Tonnages Kg,Aug 16 Glass Tonnages Kg,Sep 16 Glass Tonnages Kg,Oct 16 Glass Tonnages Kg,Nov 16 Glass Tonnages Kg,Dec 16 Glass Tonnages Kg,Jan 17 Glass Tonnages Kg,Feb 17 Glass Tonnages Kg,Mar 17 Glass Tonnages Kg,Apr 17 Glass Tonnages Kg,May 17 Glass Tonnages Kg,Jun 17 Glass Tonnages Kg,Jul 17 Glass Tonnages Kg,Aug 17 Glass Tonnages Kg,Sep 17 Glass Tonnages Kg,Oct 17 Glass Tonnages Kg,Nov 17 Glass Tonnages Kg,Dec 17 Glass Tonnages Kg,Jan 18 Glass Tonnages Kg,Feb 18 Glass Tonnages Kg,Mar 18 Glass Tonnages Kg,04/18 Glass Tonnages Kg,05/18 Glass Tonnages Kg,06/18 Glass Tonnages Kg,07/18 Glass Tonnages Kg,08/18 Glass Tonnages Kg,09/18 Glass Tonnages Kg,10/18 Glass Tonnages Kg,11/18 Glass Tonnages Kg,12/18 Glass Tonnages Kg,01/19 Glass Tonnages Kg,02/19 Glass Tonnages Kg,03/19 Glass Tonnages Kg,Total from Apr 19,12 Month Average
 Armley Conservative Club - Leeds Jazz Club,Armley Ridge Road,LS12 3NU,Social Club,Armley,,LS12,21910,72662636,53.798438,-1.59674,433646,426659,Y,,,,,Glass,1,,1,,,,,,"1,652",,760,572,,597,260,359,,699,,118,382,117,253,323,189,,,531,531,621,816,741,,903,,,651,,,4794,685
Abbey Inn,Pollard Lane,LS13 1EQ,Pub,Bramley and Stanningley,Y,LS13,22312,72158661,53.826684,-1.637747,436774,423942,Y,,,,,Glass,1,,1,267,,665,807,484,407,,660,330,816,527,823,181,560,433,300,709,,,617,105,758,"3,391","2,020","3,488", ,435,478,812,,,509,325,"1,618",342,170,8176,908
Acorn Public House,"Leeds Bradford Road, Bramley",LS13 1NS,Pub,Bramley and Stanningley,Y,LS13,22313,72118188,53.819699,-1.634268,435998,424175,Y,,,,,Glass,1,,1,,198,698,579,274,,376,,390,,,364,,244,325,187,,"1,227",209,577,209,95,210,467,,534,385,213,,"1,109",,218,163,164,256,,3042,380
Adel War Memorial Association,Church Lane,LS16 8DG,Social Club,Adel and Wharfedale,Y,LS16,22314,72564100,53.855966,-1.587172,440050,427252,Y,,,,,Glass,1,,1,"1,014",420,593,,71,653,,751,731,513,527,177,331,660,194,443,475,"1,076",826,"1,863",379,388,,346,666,,0,480,290,239,0,286,164,,210,866,3201,320
Adrian Social Club,Belle Vue Avenue,LS8 2NN,Social Club,Roundhay,Y,LS8,21900,72019451,53.824459,-1.48834,436587,433778,Y,Y,,,,"Glass, Paper",1,,3,"1,448","1,785","2,208","2,539",,"1,561","2,189","1,537","2,781","1,860","2,097",,"2,975",990,"3,111","1,875","1,724","1,063","1,899","2,415","2,694","1,704","3,213","2,360",842,"3,107","2,166","1,040","2,488","1,412",717,"2,345","2,778","3,833",754,594,22076,"1,840"
Adwalton Cricket Club,"Moorside Vale, Dridlington",BD11 1HG,Sports Club,Kippax and Methley,,BD11,21901,72547359,53.751773,-1.654953,428434,422850,Y,,,,,Glass,1,,1,854,348,,,317,,,268,,,337,"2,043",200,,,692,71,,,,,310,,,"3,247",529,0,,,671,,,306,,165,,4919,820
Aireborough Guisley Sport Centre,"St Oswalds Terrace, Guiseley",LS20 9BT,Leisure Centre,Guiseley and Rawdon,Y,LS20,21902,72292763,53.873091,-1.707248,441916,419346,Y,Y,Y,,,"Glass, Paper, Textile",1,,2,"1,499","1,148","1,241","2,060","2,059","1,307","1,585","1,713","2,813","1,731","1,870","1,298","2,169","3,199","2,584","3,276","3,473","1,471","1,610",577,"2,724","2,072","2,861","2,726","3,216","2,630","3,571","3,800","3,231","2,075","3,235",,"5,247","4,305","3,274","3,866",38450,"3,495"
Allied Glass,Haigh Park Road,LS10 1NQ,Business,City and Hunslet,,LS10,22333,72187971,53.786766,-1.528641,432375,431153,Y,,,,,Glass,,,,,,,,,,,,,"1,064",,,,,,,792,,,,,"1,233",,,,"2,630",,,,,,0,,,156,,2786,929
Alwoodley Community Centre,"The Avenue, Alwoodley",LS17 7NZ,Social Club,Alwoodley,Y,LS17,21962,72523636,53.858701,-1.555171,440367,429355,Y,,,,,Glass,1,,1,980,"1,192","1,628","1,151",511,553,"1,064","1,221","2,651","1,829",956,"1,197","1,501","1,571","1,372","1,421","1,489",,,,"1,160","1,818","1,034","1,228","1,845","1,737","1,112","1,904","1,304",,"1,443","1,395","1,726","1,796","1,769","1,633",17664,"1,606"
Anchor Inn,"Victoria Street, Castleford",WF10 2DF,Pub,Kippax and Methley,Y,WF10,21906,72527193,53.743386,-1.367903,427631,441786,Y,,,,,Glass,1,,3,,"1,527","1,262",,,,"1,622","1,622",,"1,596",,"1,345","1,116",829,"2,236",825,"1,344",,,,"1,238",205,,"2,579","1,824","1,845",739,"3,599","2,698",500,738,"2,111",926,"2,384",545,"1,974",19882,"1,657"
