Site Name,Address,Post Code,Location Type,Ward,Sticker,Postcode area,Site Number,UPRN,Latitude,Longitude,y,x,Recyclables-Mixed Glass,Recyclables-Paper,Recyclables-Textiles,Recyclables Small Electrical,Non LCC Banks,Type,Tally of Sites,Cleaning,No of  Glass Banks,04/19 Glass Tonnages Kg,05/19 Glass Tonnages Kg,06/19 Glass Tonnages Kg,07/19 Glass Tonnages Kg,08/19 Glass Tonnages Kg,09/19 Glass Tonnages Kg,10/19 Glass Tonnages Kg,11/19 Glass Tonnages Kg,12/19 Glass Tonnages Kg,01/20 Glass Tonnages Kg,02/20Glass Tonnages Kg,03/20 Glass Tonnages Kg,,,,,,,,,,,,,,,,,,,,,,,,,,
 Armley Conservative Club - Leeds Jazz Club,Armley Ridge Road,LS12 3NU,Social Club,Armley,,LS12,21910,72662636,53.798438,-1.59674,433646,426659,Y,,,,,Glass,1,,1,310,,727,,685,,730,,1017,476,,348.78,,,,,,,,,,,,,,,,,,,,,,,,,,
 City Island Apartments / Waterside Apartments,Gotts Road,LS12 1AD,Road Side,City and Hunslet,Y,LS12,21955,72662515,53.795383,-1.563447,433319,428854,Y,,,,,Glass,1,,3,"2,055",344,"1,018",728,"1,850",,325,1222,279,953,178.66,2068.15,,,,,,,,,,,,,,,,,,,,,,,,,,
Abbey Inn,Pollard Lane,LS13 1EQ,Pub,Bramley and Stanningley,Y,LS13,22312,72158661,53.826684,-1.637747,436774,423942,Y,,,,,Glass,1,,1,508,426,667,937,340,434,508,417,0,4276,308.79,508,,,,,,,,,,,,,,,,,,,,,,,,,,
Acorn Public House,"Leeds Bradford Road, Bramley",LS13 1NS,Pub,Bramley and Stanningley,Y,LS13,22313,72118188,53.819699,-1.634268,435998,424175,Y,,,,,Glass,1,,1,254,,667,650,134,177,143,141,0,113,182.52,254,,,,,,,,,,,,,,,,,,,,,,,,,,
Adel War Memorial Association,Church Lane,LS16 8DG,Social Club,Adel and Wharfedale,Y,LS16,22314,72564100,53.855966,-1.587172,440050,427252,Y,,,,,Glass,1,,1,,561,844,555,"1,301",684,377,377,321,1015,135.92,472.87,,,,,,,,,,,,,,,,,,,,,,,,,,
Adrian Social Club,Belle Vue Avenue,LS8 2NN,Social Club,Roundhay,Y,LS8,21900,72019451,53.824459,-1.48834,436587,433778,Y,Y,,,,"Glass, Paper",1,,3,"2,570","1,677","1,252","1,483","1,435","1,464","4,490",1361,5537,3022,1701.3,2522.7,,,,,,,,,,,,,,,,,,,,,,,,,,
Adwalton Cricket Club,"Moorside Vale, Dridlington",BD11 1HG,Sports Club,Kippax and Methley,,BD11,21901,72547359,53.751773,-1.654953,428434,422850,Y,,,,,Glass,1,,1,,,,,711,,,501,,,,675.7,,,,,,,,,,,,,,,,,,,,,,,,,,
Aireborough Guisley Sport Centre,"St Oswalds Terrace, Guiseley",LS20 9BT,Leisure Centre,Guiseley and Rawdon,Y,LS20,21902,72292763,53.873091,-1.707248,441916,419346,Y,Y,Y,,,"Glass, Paper, Textile",1,,1,"3,294","4,556",365,"1,144",,"1,269","1,865",1588,3083,3126,1911.6,485,,,,,,,,,,,,,,,,,,,,,,,,,,
Allied Glass,Haigh Park Road,LS10 1NQ,Business,City and Hunslet,,LS10,22333,72187971,53.786766,-1.528641,432375,431153,Y,,,,,Glass,,,,,672,,,,,,,,795,2387.3,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alwoodley Community Centre,"The Avenue, Alwoodley",LS17 7NZ,Social Club,Alwoodley,Y,LS17,21962,72523636,53.858701,-1.555171,440367,429355,Y,,,,,Glass,1,,1,"1,617",871,"1,451","1,577","1,071","1,357",,536,2089,1172,1879.3,1617,,,,,,,,,,,,,,,,,,,,,,,,,,
